
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"40.884"	"3.429"	"6.547"	"24.476"	"47.154"	"302.594"	"254.565"	"348.975"	"197.206"	"56.787"	"20.371"	"1.261"
"1902"	"0.007"	"0.004"	"24.327"	"62.518"	"67.136"	"261.115"	"455.877"	"280.004"	"450.798"	"47.283"	"0.009"	"0.01"
"1903"	"6.438"	"8.912"	"15.446"	"52.954"	"133.438"	"475.988"	"193.747"	"346.029"	"241.389"	"126.871"	"10.222"	"0.005"
"1904"	"0.764"	"9.986"	"23.432"	"32.535"	"388.433"	"261.455"	"397.791"	"297.315"	"173.67"	"36.245"	"11.525"	"0.437"
"1905"	"10.188"	"16.345"	"30.383"	"38.788"	"169.17"	"91.076"	"534.328"	"472.995"	"282.832"	"40.9"	"0.926"	"2.874"
"1906"	"10.515"	"36.373"	"23.02"	"12.526"	"106.187"	"250.02"	"494.987"	"270.683"	"163.14"	"168.761"	"3.383"	"0.005"
"1907"	"14.793"	"22.812"	"35.993"	"46.165"	"85.157"	"383.21"	"330.085"	"261.005"	"309.5"	"45.885"	"0.005"	"1.502"
"1908"	"7.031"	"19.594"	"7.072"	"12.178"	"96.045"	"247.591"	"355.327"	"300.664"	"177.754"	"32.012"	"0.631"	"0.74"
"1909"	"3.552"	"3.04"	"0"	"91.526"	"79.356"	"412.411"	"438.033"	"357.365"	"270.772"	"47.383"	"1.095"	"2.243"
"1910"	"3.361"	"6.802"	"23.642"	"63.364"	"79.464"	"345.489"	"522.565"	"345.974"	"210.397"	"91.474"	"7.673"	"0.004"
"1911"	"20.522"	"0.646"	"20.342"	"20.013"	"102.333"	"473.782"	"361.845"	"321.991"	"322.906"	"137.843"	"14.159"	"0.004"
"1912"	"1.559"	"14.987"	"10.994"	"74.908"	"120.262"	"311.77"	"466.723"	"316.23"	"99.633"	"38.955"	"12.406"	"2.471"
"1913"	"0.007"	"35.251"	"32.677"	"13.252"	"157.555"	"610.767"	"297.03"	"364.06"	"266.187"	"66.673"	"0.343"	"23.41"
"1914"	"0.004"	"24.672"	"14.94"	"36.629"	"154.442"	"164.774"	"448.274"	"382.36"	"174.711"	"46.761"	"1.216"	"1.104"
"1915"	"0.933"	"35.496"	"19.321"	"36.084"	"162.039"	"396.316"	"437.402"	"347.94"	"250.605"	"56.729"	"6.606"	"0.005"
"1916"	"0.44"	"9.106"	"6.926"	"33.686"	"51.431"	"277.394"	"424.432"	"318.59"	"341.91"	"252.94"	"10.356"	"0.004"
"1917"	"1.029"	"18.097"	"7.68"	"29.557"	"160.863"	"324.774"	"557.958"	"218.729"	"426.781"	"242.673"	"13.315"	"0.004"
"1918"	"0.404"	"4.334"	"9.98"	"50.967"	"155.018"	"328.436"	"437.252"	"536.143"	"263.503"	"39.046"	"0.082"	"0.008"
"1919"	"18.65"	"3.508"	"9.359"	"18.504"	"154.696"	"209.182"	"423.995"	"405.199"	"265.612"	"121.601"	"5.195"	"0.004"
"1920"	"7.012"	"22.194"	"34.386"	"26.118"	"92.427"	"206.449"	"396.983"	"273.149"	"423.459"	"41.072"	"0.005"	"0.004"
"1921"	"28.824"	"4.735"	"10.367"	"32.724"	"74.938"	"280.521"	"484.232"	"412.678"	"252.301"	"52.716"	"0.835"	"0.013"
"1922"	"9.846"	"6.836"	"1.071"	"11.172"	"51.977"	"623.829"	"527.538"	"361.156"	"312.973"	"49.03"	"0.082"	"12.174"
"1923"	"0.009"	"35.539"	"1.813"	"13.324"	"67.487"	"293.059"	"280.51"	"338.335"	"184.393"	"82.515"	"0.834"	"1.164"
"1924"	"2.928"	"6.385"	"2.145"	"42.335"	"93.111"	"305.477"	"475.549"	"392.621"	"309.516"	"85.949"	"46.5"	"0.004"
"1925"	"12.722"	"1.805"	"7.411"	"97.45"	"132.609"	"180.295"	"477.864"	"300.421"	"298.373"	"46.773"	"2.566"	"0.005"
"1926"	"17.734"	"0.644"	"52.409"	"29.102"	"212.109"	"114.924"	"614.071"	"329.275"	"262.664"	"62.446"	"0.005"	"4.889"
"1927"	"27.792"	"34.794"	"36.228"	"15.182"	"113.937"	"218.014"	"366.921"	"435.526"	"148.223"	"59.883"	"27.034"	"0.005"
"1928"	"22.593"	"8.008"	"2.98"	"21.153"	"162.999"	"312.33"	"493.147"	"269.984"	"268.221"	"137.239"	"1.607"	"1.506"
"1929"	"24.086"	"0.21"	"11.393"	"39.716"	"138.17"	"374.116"	"433.033"	"270.642"	"112.576"	"279.205"	"0.945"	"4.989"
"1930"	"9.083"	"10.204"	"10.301"	"33.907"	"110.741"	"261.269"	"350.107"	"314.284"	"216.096"	"77.99"	"21.113"	"8.987"
